Time,InstanceType,Region,AZ,SPS,IF,OndemandPrice,SpotPrice,Savings
2024-01-13 06:00:00,m5.large,ap-south-1,aps1-az1,3,1.5,0.101,0.054,46
2024-01-13 06:00:00,m5.large,ap-south-1,aps1-az3,3,1.5,0.101,0.0524,48
2024-01-13 06:00:00,m5.large,ap-south-1,aps1-az2,3,1.5,0.101,0.0515,49
2024-01-13 06:00:00,r5.large,ap-south-1,aps1-az3,3,2.5,0.13,0.0676,48
2024-01-13 06:00:00,r5.large,ap-south-1,aps1-az1,3,2.5,0.13,0.0739,43
2024-01-13 06:00:00,r5.large,ap-south-1,aps1-az2,3,2.5,0.13,0.068,47
2024-01-13 06:00:00,c5.large,ap-south-1,aps1-az3,3,2.5,0.085,0.0372,56
2024-01-13 06:00:00,c5.large,ap-south-1,aps1-az2,3,2.5,0.085,0.0455,46
2024-01-13 06:00:00,c5.large,ap-south-1,aps1-az1,3,2.5,0.085,0.0407,52
2024-01-13 06:00:00,t3.medium,ap-south-1,aps1-az1,3,3.0,0.0448,0.0186,58
2024-01-13 06:00:00,t3.medium,ap-south-1,aps1-az2,3,3.0,0.0448,0.0179,60
2024-01-13 06:00:00,t3.medium,ap-south-1,aps1-az3,3,3.0,0.0448,0.0172,61
2024-01-13 06:00:00,r5.large,eu-north-1,eun1-az1,3,3.0,0.134,0.0425,68
2024-01-13 06:00:00,r5.large,eu-north-1,eun1-az2,3,3.0,0.134,0.035,73
2024-01-13 06:00:00,r5.large,eu-north-1,eun1-az3,3,3.0,0.134,0.0433,67
2024-01-13 06:00:00,m5.large,eu-north-1,eun1-az1,3,2.0,0.102,0.0368,63
2024-01-13 06:00:00,m5.large,eu-north-1,eun1-az2,3,2.0,0.102,0.0378,62
2024-01-13 06:00:00,m5.large,eu-north-1,eun1-az3,3,2.0,0.102,0.0396,61
2024-01-13 06:00:00,c5.large,eu-north-1,eun1-az2,3,2.5,0.091,0.0415,54
2024-01-13 06:00:00,c5.large,eu-north-1,eun1-az3,3,2.5,0.091,0.0377,58
2024-01-13 06:00:00,c5.large,eu-north-1,eun1-az1,3,2.5,0.091,0.0382,58
2024-01-13 06:00:00,t3.medium,eu-north-1,eun1-az1,3,3.0,0.0432,0.0214,50
2024-01-13 06:00:00,t3.medium,eu-north-1,eun1-az3,3,3.0,0.0432,0.0209,51
2024-01-13 06:00:00,t3.medium,eu-north-1,eun1-az2,3,3.0,0.0432,0.0189,56
2024-01-13 06:00:00,c5.large,eu-west-3,euw3-az3,3,3.0,0.101,0.0383,62
2024-01-13 06:00:00,c5.large,eu-west-3,euw3-az1,3,3.0,0.101,0.0405,59
2024-01-13 06:00:00,c5.large,eu-west-3,euw3-az2,3,3.0,0.101,0.0404,60
2024-01-13 06:00:00,t3.medium,eu-west-3,euw3-az3,3,3.0,0.0472,0.0171,63
2024-01-13 06:00:00,t3.medium,eu-west-3,euw3-az2,3,3.0,0.0472,0.019,59
2024-01-13 06:00:00,t3.medium,eu-west-3,euw3-az1,3,3.0,0.0472,0.0163,65
2024-01-13 06:00:00,r5.large,eu-west-3,euw3-az2,3,3.0,0.148,0.0513,65
2024-01-13 06:00:00,r5.large,eu-west-3,euw3-az1,3,3.0,0.148,0.0537,63
2024-01-13 06:00:00,r5.large,eu-west-3,euw3-az3,3,3.0,0.148,0.0381,74
2024-01-13 06:00:00,m5.large,eu-west-3,euw3-az2,3,2.0,0.112,0.0376,66
2024-01-13 06:00:00,m5.large,eu-west-3,euw3-az3,3,2.0,0.112,0.0363,67
2024-01-13 06:00:00,m5.large,eu-west-3,euw3-az1,3,2.0,0.112,0.0385,65
2024-01-13 06:00:00,r5.large,eu-west-2,euw2-az1,3,2.5,0.148,0.0522,64
2024-01-13 06:00:00,r5.large,eu-west-2,euw2-az2,3,2.5,0.148,0.0537,63
2024-01-13 06:00:00,r5.large,eu-west-2,euw2-az3,3,2.5,0.148,0.0746,49
2024-01-13 06:00:00,t3.medium,eu-west-2,euw2-az1,3,3.0,0.0472,0.0183,61
2024-01-13 06:00:00,t3.medium,eu-west-2,euw2-az3,3,3.0,0.0472,0.0187,60
2024-01-13 06:00:00,t3.medium,eu-west-2,euw2-az2,3,3.0,0.0472,0.017,63
2024-01-13 06:00:00,c5.large,eu-west-2,euw2-az2,3,3.0,0.101,0.0352,65
2024-01-13 06:00:00,c5.large,eu-west-2,euw2-az3,3,3.0,0.101,0.0494,51
2024-01-13 06:00:00,c5.large,eu-west-2,euw2-az1,3,3.0,0.101,0.0505,49
2024-01-13 06:00:00,m5.large,eu-west-2,euw2-az1,3,2.0,0.111,0.0409,63
2024-01-13 06:00:00,m5.large,eu-west-2,euw2-az2,3,2.0,0.111,0.0425,61
2024-01-13 06:00:00,m5.large,eu-west-2,euw2-az3,3,2.0,0.111,0.0364,67
2024-01-13 06:00:00,r5.large,eu-west-1,euw1-az3,3,3.0,0.141,0.0574,59
2024-01-13 06:00:00,r5.large,eu-west-1,euw1-az1,3,3.0,0.141,0.0614,56
2024-01-13 06:00:00,r5.large,eu-west-1,euw1-az2,3,3.0,0.141,0.0604,57
2024-01-13 06:00:00,m5.large,eu-west-1,euw1-az2,3,3.0,0.107,0.0462,56
2024-01-13 06:00:00,m5.large,eu-west-1,euw1-az3,3,3.0,0.107,0.0463,56
2024-01-13 06:00:00,m5.large,eu-west-1,euw1-az1,3,3.0,0.107,0.0462,56
2024-01-13 06:00:00,t3.medium,eu-west-1,euw1-az1,3,3.0,0.0456,0.0185,59
2024-01-13 06:00:00,t3.medium,eu-west-1,euw1-az2,3,3.0,0.0456,0.02,56
2024-01-13 06:00:00,t3.medium,eu-west-1,euw1-az3,3,3.0,0.0456,0.0188,58
2024-01-13 06:00:00,c5.large,eu-west-1,euw1-az2,3,3.0,0.096,0.0399,58
2024-01-13 06:00:00,c5.large,eu-west-1,euw1-az1,3,3.0,0.096,0.0408,57
2024-01-13 06:00:00,c5.large,eu-west-1,euw1-az3,3,3.0,0.096,0.0404,57
2024-01-13 06:00:00,m5.large,ap-northeast-3,apne3-az2,3,2.0,0.124,0.0427,65
2024-01-13 06:00:00,m5.large,ap-northeast-3,apne3-az1,3,2.0,0.124,0.0394,68
2024-01-13 06:00:00,m5.large,ap-northeast-3,apne3-az3,3,2.0,0.124,0.0362,70
2024-01-13 06:00:00,r5.large,ap-northeast-3,apne3-az2,3,2.5,0.152,0.0549,63
2024-01-13 06:00:00,r5.large,ap-northeast-3,apne3-az1,3,2.5,0.152,0.0555,63
2024-01-13 06:00:00,r5.large,ap-northeast-3,apne3-az3,3,2.5,0.152,0.0406,73
2024-01-13 06:00:00,c5.large,ap-northeast-3,apne3-az3,3,3.0,0.107,0.0434,59
2024-01-13 06:00:00,c5.large,ap-northeast-3,apne3-az2,3,3.0,0.107,0.046,57
2024-01-13 06:00:00,c5.large,ap-northeast-3,apne3-az1,3,3.0,0.107,0.0423,60
2024-01-13 06:00:00,t3.medium,ap-northeast-3,apne3-az3,3,3.0,0.0544,0.0111,79
2024-01-13 06:00:00,t3.medium,ap-northeast-3,apne3-az2,3,3.0,0.0544,0.0117,78
2024-01-13 06:00:00,t3.medium,ap-northeast-3,apne3-az1,3,3.0,0.0544,0.0189,65
2024-01-13 06:00:00,r5.large,ap-northeast-2,apne2-az3,3,2.5,0.152,0.0575,62
2024-01-13 06:00:00,r5.large,ap-northeast-2,apne2-az4,3,2.5,0.152,0.0565,62
2024-01-13 06:00:00,r5.large,ap-northeast-2,apne2-az2,3,2.5,0.152,0.0422,72
2024-01-13 06:00:00,r5.large,ap-northeast-2,apne2-az1,3,2.5,0.152,0.0523,65
2024-01-13 06:00:00,c5.large,ap-northeast-2,apne2-az2,3,3.0,0.096,0.0463,51
2024-01-13 06:00:00,c5.large,ap-northeast-2,apne2-az4,3,3.0,0.096,0.0373,61
2024-01-13 06:00:00,c5.large,ap-northeast-2,apne2-az1,3,3.0,0.096,0.04,58
2024-01-13 06:00:00,c5.large,ap-northeast-2,apne2-az3,3,3.0,0.096,0.0399,58
2024-01-13 06:00:00,m5.large,ap-northeast-2,apne2-az1,3,2.0,0.118,0.0379,67
2024-01-13 06:00:00,m5.large,ap-northeast-2,apne2-az4,3,2.0,0.118,0.0344,70
2024-01-13 06:00:00,m5.large,ap-northeast-2,apne2-az3,3,2.0,0.118,0.0394,66
2024-01-13 06:00:00,m5.large,ap-northeast-2,apne2-az2,3,2.0,0.118,0.0354,70
2024-01-13 06:00:00,t3.medium,ap-northeast-2,apne2-az4,3,3.0,0.052,0.0184,64
2024-01-13 06:00:00,t3.medium,ap-northeast-2,apne2-az3,3,3.0,0.052,0.0173,66
2024-01-13 06:00:00,t3.medium,ap-northeast-2,apne2-az2,3,3.0,0.052,0.0172,66
2024-01-13 06:00:00,t3.medium,ap-northeast-2,apne2-az1,3,3.0,0.052,0.0184,64
2024-01-13 06:00:00,c5.large,ap-northeast-1,apne1-az2,3,3.0,0.107,0.0462,56
2024-01-13 06:00:00,c5.large,ap-northeast-1,apne1-az1,3,3.0,0.107,0.0347,67
2024-01-13 06:00:00,c5.large,ap-northeast-1,apne1-az4,3,3.0,0.107,0.0446,58
2024-01-13 06:00:00,r5.large,ap-northeast-1,apne1-az2,3,2.5,0.152,0.0553,63
2024-01-13 06:00:00,r5.large,ap-northeast-1,apne1-az4,3,2.5,0.152,0.0526,65
2024-01-13 06:00:00,r5.large,ap-northeast-1,apne1-az1,3,2.5,0.152,0.0481,68
2024-01-13 06:00:00,t3.medium,ap-northeast-1,apne1-az4,3,3.0,0.0544,0.0189,65
2024-01-13 06:00:00,t3.medium,ap-northeast-1,apne1-az1,3,3.0,0.0544,0.0188,65
2024-01-13 06:00:00,t3.medium,ap-northeast-1,apne1-az2,3,3.0,0.0544,0.0212,61
2024-01-13 06:00:00,m5.large,ap-northeast-1,apne1-az4,3,1.5,0.124,0.0386,68
2024-01-13 06:00:00,m5.large,ap-northeast-1,apne1-az2,3,1.5,0.124,0.042,66
2024-01-13 06:00:00,m5.large,ap-northeast-1,apne1-az1,3,1.5,0.124,0.0396,68
2024-01-13 06:00:00,r5.large,ca-central-1,cac1-az1,3,2.5,0.138,0.06,56
2024-01-13 06:00:00,r5.large,ca-central-1,cac1-az2,3,2.5,0.138,0.0743,46
2024-01-13 06:00:00,r5.large,ca-central-1,cac1-az4,3,2.5,0.138,0.0543,60
2024-01-13 06:00:00,c5.large,ca-central-1,cac1-az1,3,3.0,0.093,0.0508,45
2024-01-13 06:00:00,c5.large,ca-central-1,cac1-az2,3,3.0,0.093,0.0495,46
2024-01-13 06:00:00,c5.large,ca-central-1,cac1-az4,3,3.0,0.093,0.0461,50
2024-01-13 06:00:00,m5.large,ca-central-1,cac1-az2,3,1.5,0.107,0.0433,59
2024-01-13 06:00:00,m5.large,ca-central-1,cac1-az1,3,1.5,0.107,0.0446,58
2024-01-13 06:00:00,m5.large,ca-central-1,cac1-az4,3,1.5,0.107,0.0434,59
2024-01-13 06:00:00,t3.medium,ca-central-1,cac1-az1,3,3.0,0.0464,0.0153,67
2024-01-13 06:00:00,t3.medium,ca-central-1,cac1-az4,3,3.0,0.0464,0.0144,68
2024-01-13 06:00:00,t3.medium,ca-central-1,cac1-az2,3,3.0,0.0464,0.0147,68
